출사 장소 리스트,거리&골목길,건축물,공원,광화문&종로,궁궐,다리,산,서촌&북촌,식물,역사 문화 공간,자연산책로,캠퍼스,야경&전망,테마파크,한강,위도,경도,주소
북정마을,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5928634,126.9910347,서울 성북구 성북로23길 132-3
북촌 한옥마을,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37.581354,126.9850839,서울 종로구 계동길 37
삼청동길,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.5898486,126.9824374,서울 종로구 삼청로 156
서래마을,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4975181,126.998323,서울특별시 서초구 반포4동
서래섬,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5078864,126.989497,서울특별시 서초구 반포동
서소문성지역사박물관,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37.5605975,126.9688662,서울 중구 칠패로 5
서순라길,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.574775,126.991825,서울특별시 종로구 권농동
서울 식물원,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,37.5682071,126.8327467,서울 강서구 마곡동로 161
서울로7017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5567644,126.970658,서울 중구 청파로 432
서울숲,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,37.5419644,127.0385663,서울 성동구 뚝섬로 273
서울시립대학교,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.583639,127.0588564,서울 동대문구 서울시립대로 163
서촌마을,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.5801885,126.9685047,서울 종로구 필운대로 45
석파정-부암동 일대,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,37.5949092,126.9632222,서울 종로구 창의문로11길 4-1
선유도공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.543418,126.90014,서울 영등포구 선유로 343
성균관 명륜당,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37.5861956,126.9957954,서울특별시 종로구 명륜3가
성균관대학교,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5879535,126.9921594,서울 종로구 성균관로 25-2
성수구름다리,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5381705,127.0419548,서울특별시 성동구 성수동1가
성수대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5366125,127.0349431,서울특별시 성동구 옥수동
성수동카페거리,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5432141,127.0565506,서울특별시 성동구 성수동2가
세빛섬,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5124345,126.9959703,서울 서초구 올림픽대로 2085-14
세운상가,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5692296,126.9952691,서울 종로구 청계천로 159
신흥시장,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5454213,126.9850088,서울 용산구 신흥로 95-9
아차산,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5544036,127.0971175,서울특별시 광진구 구의동
양재천,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.4881032,127.0574234,서울특별시 강남구 대치동
양화 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5430083,126.8957603,서울 영등포구 노들로 113
양화대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5441779,126.905103,서울특별시 마포구 합정동
어린이대공원,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,37.5498986,127.0809212,서울 광진구 능동로 216
여의도 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5263232,126.9348268,서울 영등포구 여의동로 330
연남동 경의선숲길,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5619568,126.9229824,서울특별시 마포구 연남동
연세대학교 신촌캠퍼스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.567113,126.9390291,서울 서대문구 연세로 50
연희동 일대,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.573908,126.935175,서울특별시 서대문구 연희동
영동대교,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,37.5302893,127.0573088,서울특별시 성동구 성수동2가
올림픽공원,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,37.5170955,127.1295404,서울 송파구 올림픽로 424
용마랜드,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5949591,127.1053597,서울 중랑구 망우로70길 118
용마산,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.5711598,127.0957337,서울특별시 중랑구 면목동
용산 백빈건널목,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.524651,126.9600188,서울 용산구 한강대로7길 23-15
용산공원 미군기지,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,37.5230098,126.9891845,서울 용산구 서빙고로 221
용양봉저정공원,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,37.5117765,126.9584177,서울특별시 동작구 본동 산3-9
우면산 소망탑,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.4695912,127.0054232,"서울특별시 서초구 우면동 산39-3 39-3,"
운현궁,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.5761249,126.98705,서울 종로구 삼일대로 464
원효대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5271,126.9457887,서울특별시 영등포구 여의도동
월드컵공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.571805,126.8789069,서울 마포구 하늘공원로 86
은평한옥마을,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6413181,126.9393075,서울특별시 은평구 진관동 193-14
을지로 골목,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.565559,126.9898534,서울특별시 중구 을지로3가 344-22
응봉산,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5478269,127.029725,서울특별시 성동구 금호동4가 1540 응봉산
이촌 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5191002,126.9652321,서울 용산구 이촌로72길 62
이화여자대학교,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5617395,126.9472447,서울 서대문구 이화여대길 52
익선동한옥거리,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37.5734409,126.989774,서울특별시 종로구 익선동
인사동문화의거리,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37.5739818,126.9849358,서울특별시 종로구 인사동
인왕산,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5849,126.9578437,서울특별시 종로구 무악동 산2-1
일자산허브천문공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.5372715,127.1533951,서울특별시 강동구 둔촌동 산86
잠수교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5145083,126.9965328,서울특별시 서초구 반포동
잠실 석촌호수,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37.5095249,127.102135,서울특별시 송파구 잠실동
잠실 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5188863,127.0900268,서울 송파구 한가람로 65
잠실철교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5286196,127.0988654,서울특별시 송파구 신천동
장충동 일대,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5617809,127.0055897,서울 중구 퇴계로56길 50
정동전망대,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5644216,126.9756661,서울 중구 덕수궁길 15
중랑장미공원,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,37.6155327,127.0733217,서울특별시 중랑구 묵동 375
창경궁,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.5794952,126.994142,서울 종로구 창경궁로 185
창덕궁,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.5826041,126.9919376,서울 종로구 율곡로 99
천호대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5427832,127.1125061,서울특별시 송파구 풍납동
