출사 장소 리스트,거리&골목길,건축물,공원,광화문&종로,궁궐,다리,산,서촌&북촌,식물,역사 문화 공간,자연산책로,캠퍼스,야경&전망,테마파크,한강,위도,경도,주소,,,id,navermap
반포한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5100065,126.9950258,서울 서초구 신반포로11길 40,,,13416963,"http://map.naver.com/entry/place/13416963?c=15.00,0,0,0,dh"
보라매공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.492333,126.918289,서울 동작구 여의대방로20길 33,,,11622412,"http://map.naver.com/entry/place/11622412?c=15.00,0,0,0,dh"
봉은사,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5149197,127.0576546,서울 강남구 봉은사로 531,,,11664007,"http://map.naver.com/entry/place/11664007?c=15.00,0,0,0,dh"
북서울꿈의숲,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.6233355,127.0407343,서울 강북구 월계로 173,,,13293207,"http://map.naver.com/entry/place/13293207?c=15.00,0,0,0,dh"
북정마을,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5928634,126.9910347,서울 성북구 성북로23길 132-3,,,37997088,"http://map.naver.com/entry/place/37997088?c=15.00,0,0,0,dh"
북촌 한옥마을,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37.581354,126.9850839,서울 종로구 계동길 37,,,13034552,"http://map.naver.com/entry/place/13034552?c=15.00,0,0,0,dh"
삼청동길,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.5898486,126.9824374,서울 종로구 삼청로 156,,,13513604,"http://map.naver.com/entry/place/13513604?c=15.00,0,0,0,dh"
서래마을,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4975181,126.998323,서울특별시 서초구 반포4동,,,13490935,"http://map.naver.com/entry/place/13490935?c=15.00,0,0,0,dh"
서래섬,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5078864,126.989497,서울특별시 서초구 반포동,,,11491893,"http://map.naver.com/entry/place/11491893?c=15.00,0,0,0,dh"
서소문성지역사박물관,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,37.5605975,126.9688662,서울 중구 칠패로 5,,,1453840411,"http://map.naver.com/entry/place/1453840411?c=15.00,0,0,0,dh"
서순라길,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.574775,126.991825,서울특별시 종로구 권농동,,,18672027,"http://map.naver.com/entry/place/18672027?c=15.00,0,0,0,dh"
서울 식물원,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,37.5682071,126.8327467,서울 강서구 마곡동로 161,,,1932878505,"http://map.naver.com/entry/place/1932878505?c=15.00,0,0,0,dh"
서울로7017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5567644,126.970658,서울 중구 청파로 432,,,35756931,"http://map.naver.com/entry/place/35756931?c=15.00,0,0,0,dh"
서울숲,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,37.5419644,127.0385663,서울 성동구 뚝섬로 273,,,11636039,"http://map.naver.com/entry/place/11636039?c=15.00,0,0,0,dh"
서울시립대학교,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.583639,127.0588564,서울 동대문구 서울시립대로 163,,,11591578,"http://map.naver.com/entry/place/11591578?c=15.00,0,0,0,dh"
서촌마을,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,37.5801885,126.9685047,서울 종로구 필운대로 45,,,31148576,"http://map.naver.com/entry/place/31148576?c=15.00,0,0,0,dh"
석파정-부암동 일대,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,37.5949092,126.9632222,서울 종로구 창의문로11길 4-1,,,18686253,"http://map.naver.com/entry/place/18686253?c=15.00,0,0,0,dh"
선유도공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.543418,126.90014,서울 영등포구 선유로 343,,,12366522,"http://map.naver.com/entry/place/12366522?c=15.00,0,0,0,dh"
성균관 명륜당,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37.5861956,126.9957954,서울특별시 종로구 명륜3가,,,18679208,"http://map.naver.com/entry/place/18679208?c=15.00,0,0,0,dh"
성균관대학교,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5879535,126.9921594,서울 종로구 성균관로 25-2,,,745411601,"http://map.naver.com/entry/place/745411601?c=15.00,0,0,0,dh"
성수구름다리,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5381705,127.0419548,서울특별시 성동구 성수동1가,,,20709880,"http://map.naver.com/entry/place/20709880?c=15.00,0,0,0,dh"
성수대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5366125,127.0349431,서울특별시 성동구 옥수동,,,18783991,"http://map.naver.com/entry/place/18783991?c=15.00,0,0,0,dh"
성수동카페거리,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5432141,127.0565506,서울특별시 성동구 성수동2가,,,1207780049,"http://map.naver.com/entry/place/1207780049?c=15.00,0,0,0,dh"
세빛섬,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5124345,126.9959703,서울 서초구 올림픽대로 2085-14,,,35719873,"http://map.naver.com/entry/place/35719873?c=15.00,0,0,0,dh"
세운상가,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5692296,126.9952691,서울 종로구 청계천로 159,,,13304079,"http://map.naver.com/entry/place/13304079?c=15.00,0,0,0,dh"
신흥시장,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5454213,126.9850088,서울 용산구 신흥로 95-9,,,21856732,"http://map.naver.com/entry/place/21856732?c=15.00,0,0,0,dh"
아차산,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5544036,127.0971175,서울특별시 광진구 구의동,,,30881032,"http://map.naver.com/entry/place/30881032?c=15.00,0,0,0,dh"
양재천,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.4881032,127.0574234,서울특별시 강남구 대치동,,,12375874,"http://map.naver.com/entry/place/12375874?c=15.00,0,0,0,dh"
양화 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5430083,126.8957603,서울 영등포구 노들로 113,,,13416897,"http://map.naver.com/entry/place/13416897?c=15.00,0,0,0,dh"
양화대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5441779,126.905103,서울특별시 마포구 합정동,,,18790569,"http://map.naver.com/entry/place/18790569?c=15.00,0,0,0,dh"
어린이대공원,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,37.5498986,127.0809212,서울 광진구 능동로 216,,,11796387,"http://map.naver.com/entry/place/11796387?c=15.00,0,0,0,dh"
여의도 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5263232,126.9348268,서울 영등포구 여의동로 330,,,13416869,"http://map.naver.com/entry/place/13416869?c=15.00,0,0,0,dh"
연남동 경의선숲길,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.5619568,126.9229824,서울특별시 마포구 연남동,,,37992172,"http://map.naver.com/entry/place/37992172?c=15.00,0,0,0,dh"
연세대학교 신촌캠퍼스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.567113,126.9390291,서울 서대문구 연세로 50,,,11591604,"http://map.naver.com/entry/place/11591604?c=15.00,0,0,0,dh"
연희동 일대,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.573908,126.935175,서울특별시 서대문구 연희동,,,,"https://map.naver.com/p/entry/address/14130359.044755,4519406.9435896,%EC%84%9C%EC%9A%B8%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%8F%99?c=13.00,0,0,0,dh"
영동대교,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,37.5302893,127.0573088,서울특별시 성동구 성수동2가,,,18827072,"http://map.naver.com/entry/place/18827072?c=15.00,0,0,0,dh"
올림픽공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.5170955,127.1295404,서울 송파구 올림픽로 424,,,20662279,"http://map.naver.com/entry/place/20662279?c=15.00,0,0,0,dh"
용마랜드,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5949591,127.1053597,서울 중랑구 망우로70길 118,,,13163164,"http://map.naver.com/entry/place/13163164?c=15.00,0,0,0,dh"
용마산,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.5711598,127.0957337,서울특별시 중랑구 면목동,,,13490940,"http://map.naver.com/entry/place/13490940?c=15.00,0,0,0,dh"
용산 백빈건널목,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.524651,126.9600188,서울 용산구 한강대로7길 23-15,,,1306605742,"http://map.naver.com/entry/place/1306605742?c=15.00,0,0,0,dh"
