id,name,category,addr,latitude,longitude
72,카린지린가네스낵바 신촌점,일식,서울 서대문구 연세로5길 2,37.5573847,126.9365696
73,타이거풀,양식,서울 성동구 성수이로7가길 7,37.5408948,127.0547309
74,순대실록 대학로본점,한식,서울 종로구 동숭길 127,37.5832958,127.0030756
75,자매수산 강남본점,한식,서울 서초구 사평대로56길 12,37.5029096,127.0230357
76,진작,일식,서울 중구 수표로12길 12,37.5640076,126.9908401
77,고베규카츠 서울 강남점,양식,서울 강남구 강남대로102길 29,37.5029305,127.0276038
78,스미카츠,양식,서울특별시 강남구 선릉로157길 23-3,37.5259961,127.0379273
79,동경산책,일식,서울 관악구 관악로14길 30,37.4789029,126.9542
80,리차드하우스 연남,양식,서울 마포구 동교로46길 36,37.5621271,126.9265903
81,동경산책 성신여대점,일식,서울 성북구 보문로34길 45,37.590857,127.0179113
82,최대감네,한식,서울 종로구 인사동8길 12-3,37.574075,126.986124
83,더 스팟 패뷸러스,카페,서울 중구 명동2길 22,37.5623327,126.982616
84,바이킹스워프 롯데월드몰점,양식,서울 송파구 올림픽로 300,37.5125702,127.1025625
85,긴꼬리초밥,일식,서울특별시 강서구 공항대로 269-15,37.5596114,126.8372423
86,사위식당 여의도점,한식,서울 영등포구 국제금융로2길 32,37.5238818,126.924138
87,테디뵈르하우스 용산점,카페,서울 용산구 한강대로40가길 42,37.5316045,126.9725361
88,오레노라멘 본점,일식,서울 마포구 독막로6길 14,37.5474838,126.9173134
89,진옥화할매원조닭한마리,한식,서울 종로구 종로40가길 18,37.5703809,127.0057131
90,진주집,한식,서울 영등포구 국제금융로6길 33,37.5207575,126.9269566
91,울프강 스테이크하우스,양식,서울 강남구 선릉로152길 21,37.52449,127.0414674
92,오이지 대학로,한식,서울 종로구 대학로9길 33,37.5818523,127.0002015
93,중앙해장,한식,서울특별시 성동구 금호로 15,37.5449355,127.0221874
94,후추포인트,양식,서울 강남구 봉은사로6길 30,37.5030823,127.0272802
95,더 리버사이드 호텔 뷔페 더가든키친,뷔페,서울 서초구 강남대로107길 6,37.5187347,127.0180825
96,요미우돈교자 연남점,일식,서울 마포구 동교로 244-1,37.5617801,126.9244879
97,수작나베 선릉점,아시아음식,서울 강남구 선릉로82길 9,37.5026874,127.0508805
98,쥬벤쿠바 샤로수길점,양식,서울 관악구 관악로14나길 10,37.477667,126.9573136
99,오마카세 오사이초밥 대학로점,일식,서울 종로구 동숭길 100,37.5828444,127.0042712
100,차일디쉬,카페,서울특별시 성동구 연무장길 114,37.5404568,127.0615718
101,스트로베리32 성수점,카페,서울 성동구 왕십리로10길 9-31,37.5468292,127.046307
102,바다당,한식,서울 서초구 방배천로4길 26,37.4776747,126.9839633
103,마초쉐프 강남본점,양식,서울 강남구 강남대로106길 29,37.5035119,127.0278601
104,트라가 역삼점,양식,서울 강남구 테헤란로25길 46,37.5034928,127.0348669
105,우대옥,한식,서울 서초구 방배천로4길 15-17,37.4787822,126.9834067
106,간판없는가게,양식,서울특별시 종로구 돈화문로11다길 36,37.5738066,126.9902802
107,예담밥상,한식,서울 광진구 동일로22길 13,37.5425239,127.0652341
108,가양칼국수버섯매운탕,한식,서울 영등포구 국제금융로 78,37.5208744,126.9313093
109,딤딤섬 파르나스몰점,중식,서울 강남구 테헤란로 521,37.509545,127.0608688
110,광화문미진,한식,서울 강남구 압구정로34길 16,37.5270618,127.0305712
111,핵밥 홍대점,일식,서울 마포구 잔다리로6길 40-6,37.5521225,126.9212838
112,백소정 노원중앙점,일식,서울 노원구 노해로83길 10-2,37.6556552,127.064474
113,디라이프스타일키친 롯데월드몰점,양식,서울 송파구 올림픽로 300,37.5125702,127.1025625
114,로니로티 노원점,양식,서울 노원구 상계로 63-7,37.6565125,127.0618955
115,우래옥,한식,서울 중구 창경궁로 62-29,37.5682193,126.998732
116,신사교자냉삼,한식,서울 강남구 강남대로152길 21,37.5176564,127.0210759
117,호우섬 더현대서울점,중식,서울 영등포구 여의대로 108,37.5266691,126.9271941
118,오마카세 오사이초밥 성수직영점,일식,서울 성동구 연무장3길 9-14,37.5448395,127.0515705
119,단디,일식,서울특별시 송파구 백제고분로45길 7,37.5092288,127.1103558
120,서울앵무새,카페,서울특별시 성동구 서울숲9길 3,37.5483268,127.0435639
121,틴틴 강남점,양식,서울 강남구 봉은사로2길 19,37.5035726,127.0261977
122,능동미나리,한식,서울특별시 용산구 한강대로40길 28,37.5300731,126.9708333
123,문화식당,기타,서울 성동구 성수일로4길 45,37.5423149,127.0538285
124,청와옥 본점,한식,서울 송파구 위례성대로 48,37.5153216,127.1175456
125,서울집,한식,서울특별시 강남구 언주로93길 22-3,37.5036298,127.0399218
126,차만다 서울숲점,양식,서울 성동구 서울숲2길 28-12,37.5466229,127.0413942
127,다케오 호르몬 데판야끼,한식,서울 중구 을지로12길 14,37.5656763,126.9910159
128,진미평양냉면,한식,서울 강남구 학동로 305-3,37.516151,127.036041
129,오마,양식,서울특별시 마포구 성미산로 192,37.5628142,126.9263112
130,낭만부대찌개,한식,서울 구로구 디지털로 288,37.4837318,126.8953657
131,워킹온더클라우드,양식,서울 영등포구 63로 50,37.5198158,126.9403139
132,스시이세이 잠실 롯데백화점 에비뉴엘 월드타워점,일식,서울 송파구 올림픽로 300,37.5125702,127.1025625
133,온천집,한식,서울 종로구 돈화문로11나길 31-8,37.5741115,126.9897996
134,닥터로빈 광화문점,양식,서울 종로구 종로3길 17,37.5710184,126.9789694
135,도토리,카페,서울특별시 용산구 한강대로52길 25-6,37.5319087,126.9727984
136,수부니흐,양식,서울 마포구 동교로38길 35,37.5613621,126.9258205
137,갸우뚱,중식,서울 종로구 대학로9길 25,37.5815987,127.0004141
138,도토리가든,카페,서울특별시 종로구 계동길 19-8,37.5780996,126.9862903
139,커피 벌스데이,카페,서울특별시 마포구 와우산로29길 26-33,37.55553,126.9287579
140,모던샤브하우스 광화문D타워점,한식,서울 종로구 종로3길 17,37.5710184,126.9789694
141,하이디라오 영등포지점,중식,서울 영등포구 경인로 870,37.5169829,126.909283
142,디오디아2.0,뷔페,서울 서초구 강남대로 213,37.4827711,127.034966
143,삼겹살 전문점 대통령,한식,서울 중구 장충단로 249-24,37.5674463,127.0076735
